brand,image,image_address,Segmented Image
zara,,https://static.zara.net/assets/public/b0ee/9c23/418c4427bc18/933ab81a2540/04192016606-p/04192016606-p.jpg?ts=1729179487444&w=1024,
ralph lauren,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-AI211948661001_alternate10?$rl_4x5_pdp$,
HM,,https://image.hm.com/assets/hm/0a/5a/0a5a2d1e8198af9357ea9f9d66d311e90983a50f.jpg?imwidth=1536,
